13	0	0	0
13	4	0	0
0	1	11	11
0	1	12	12
0	1	13	13
0	1	14	14
0	1	15	15
0	1	16	16
0	1	17	17
0	1	18	18
0	1	19	19
0	1	20	20
0	1	21	21
0	1	22	22
0	1	23	23
0	1	24	24
0	1	25	25
0	1	26	26
0	1	27	27
0	1	28	28
0	1	29	29
0	2	30	30
0	2	31	31
0	2	32	32
0	2	33	33
0	1	51	51
1	14	0	0
2	1	0	0
2	3	41	41
3	1	11	11
3	1	12	12
3	1	13	13
3	1	14	14
3	1	15	15
3	1	16	16
3	1	17	17
3	1	18	18
3	1	19	19
4	5	46	31
4	6	0	0
5	14	0	0
6	7	11	0
6	9	12	0
6	10	13	0
7	8	44	25
8	14	0	0
9	8	45	31
10	11	45	32
11	12	0	41
12	8	0	15
14	15	0	0
14	15	0	0
14	15	38	38
14	15	40	40
15
